Property ID,Estatus,Property Name,dataLayer name,Property Description,Grupo,Property Type,Tipo de datos,Ejemplo de respuesta,Front/Back,Fuente
,No implementado,[Guides-Surveys] Lifecycle UUID,[Guides-Surveys] Lifecycle UUID,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Page.domain,[Guides-Surveys] Page.domain,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Page.path,[Guides-Surveys] Page.path,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Page.title,[Guides-Surveys] Page.title,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Source.properties.triggerType,[Guides-Surveys] Source.properties.triggerType,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Source.type,[Guides-Surveys] Source.type,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Step ID,[Guides-Surveys] Step ID,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Step Index,[Guides-Surveys] Step Index,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Step Title,[Guides-Surveys] Step Title,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Survey Response,[Guides-Surveys] Survey Response,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Survey Response String,[Guides-Surveys] Survey Response String,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Tags,[Guides-Surveys] Tags,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Title,[Guides-Surveys] Title,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Type,[Guides-Surveys] Type,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Variant ID,[Guides-Surveys] Variant ID,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Version,[Guides-Surveys] Version,,,,String,,,Amplitude
,No implementado,[Guides-Surveys] Was Completed Via CTA,[Guides-Surveys] Was Completed Via CTA,,,,String,,,Amplitude
,No implementado,abTestID,abTestID,,,,String,,,Amplitude
,No implementado,abTestVariantID,abTestVariantID,,,,String,,,Amplitude
,No implementado,acceptance,acceptance,,,,String,,,Amplitude
,No implementado,action,action,,,,String,,,Amplitude
,No implementado,action_add_body_type,action_add_body_type,,,,String,,,Amplitude
,No implementado,action_add_color,action_add_color,,,,String,,,Amplitude
,No implementado,action_add_fuel_type,action_add_fuel_type,,,,String,,,Amplitude
,No implementado,action_add_location,action_add_location,,,,String,,,Amplitude
,No implementado,action_add_maker,action_add_maker,,,,String,,,Amplitude
,No implementado,action_add_max_km,action_add_max_km,,,,String,,,Amplitude
,No implementado,action_add_max_price,action_add_max_price,,,,String,,,Amplitude
,No implementado,action_add_min_km,action_add_min_km,,,,String,,,Amplitude
,No implementado,action_add_min_price,action_add_min_price,,,,String,,,Amplitude
,No implementado,action_add_model,action_add_model,,,,String,,,Amplitude
,No implementado,action_add_passengers,action_add_passengers,,,,String,,,Amplitude
,No implementado,action_add_promotion_name,action_add_promotion_name,,,,String,,,Amplitude
